Title,Season,Episode,Description,Duration,Year,Director,Rating
"Horse of Destruction (The Myth Makers, Part Four)",3,9,"<p><i><b>Missing episode</b></i></p><p>When the TARDIS arrives on the plains of Asia Minor not far from the besieged city of Troy, the Doctor is hailed by Achilles as the mighty godZeus and taken to the Greek camp. He meets Agamemnon and Odysseus. Forced to admit he is a mere mortal — albeit a traveller in space and time — he is given two days to devise a scheme to capture Troy.</p><p>Steven and Vicki, meanwhile, have been taken prisoner by the Trojans. Vicki, believed to possess supernatural powers, is given two days to banish the Greeks to prove she is not a spy.</p>",25,1965,Michael Leeston-Smith,7.5
"The Nightmare Begins (The Daleks' Master Plan, Part One)",3,10,"<p><b>Only audio of this episode exists</b>.</p><p>In the year 4000, the Daleks conspire to conquer the Solar System. Their scheme involves treachery at the highest levels and a weapon capable of destroying the very fabric of time. Only the Doctor and his friends can prevent catastrophe — and there is no guarantee they will escape with their lives...</p>",25,1965,Douglas Camfield,7.1
"Day of Armageddon (The Daleks' Master Plan, Part Two)",3,11,"<p>In the year 4000, the Daleks conspire to conquer the Solar System. Their scheme involves treachery at the highest levels and a weapon capable of destroying the very fabric of time. Only the Doctor and his friends can prevent catastrophe — and there is no guarantee they will escape with their lives...</p>",25,1965,Douglas Camfield,7.4
"Devil's Planet (The Daleks' Master Plan, Part Three)",3,12,"<p><i><b>Missing episode - only audio exists</b></i></p><p>In the year 4000, the Daleks conspire to conquer the Solar System. Their scheme involves treachery at the highest levels and a weapon capable of destroying the very fabric of time. Only the Doctor and his friends can prevent catastrophe — and there is no guarantee they will escape with their lives...</p>",25,1965,Douglas Camfield,6
"The Traitors (The Daleks' Master Plan, Part Four)",3,13,"<p><i><b>Missing episode - only audio exists</b></i></p><p>In the year 4000, the Daleks conspire to conquer the Solar System. Their scheme involves treachery at the highest levels and a weapon capable of destroying the very fabric of time. Only the Doctor and his friends can prevent catastrophe — and there is no guarantee they will escape with their lives...</p>",25,1965,Douglas Camfield,6.8
"Counter Plot (The Daleks' Master Plan, Part Five)",3,14,"<p>In the year 4000, the Daleks conspire to conquer the Solar System. Their scheme involves treachery at the highest levels and a weapon capable of destroying the very fabric of time. Only the Doctor and his friends can prevent catastrophe — and there is no guarantee they will escape with their lives...</p>",25,1965,Douglas Camfield,6.8
"Coronas of the Sun (The Daleks' Master Plan, Part Six)",3,15,"<p><i><b>Missing episode -only audio exists</b></i></p><p>In the year 4000, the Daleks conspire to conquer the Solar System. Their scheme involves treachery at the highest levels and a weapon capable of destroying the very fabric of time. Only the Doctor and his friends can prevent catastrophe — and there is no guarantee they will escape with their lives...</p>",25,1965,Douglas Camfield,6
"The Feast of Steven (The Daleks' Master Plan, Part Seven)",3,16,"<p><i><b>Missing episode -only audio exists</b></i></p><p>Christmas episode.   The doctor &amp; his friends land in 60's England, then end up on a 1920's Hollywood studio lot.</p><p> </p>",25,1965,Douglas Camfield,6.6
"Volcano (The Daleks' Master Plan, Part Eight)",3,17,"<p><i><b>Missing episode - only audio exists</b></i></p><p>In the year 4000, the Daleks conspire to conquer the Solar System. Their scheme involves treachery at the highest levels and a weapon capable of destroying the very fabric of time. Only the Doctor and his friends can prevent catastrophe — and there is no guarantee they will escape with their lives...</p>",25,1966,Douglas Camfield,6.6
"Golden Death (The Daleks' Master Plan, Part Nine)",3,18,"<p><i><b>Missing episode - only audio exists</b></i><br /> </p><p>In the year 4000, the Daleks conspire to conquer the Solar System. Their scheme involves treachery at the highest levels and a weapon capable of destroying the very fabric of time. Only the Doctor and his friends can prevent catastrophe — and there is no guarantee they will escape with their lives...</p>",25,1966,Douglas Camfield,6.5
"Escape Switch (The Daleks' Master Plan, Part Ten)",3,19,"<p>In the year 4000, the Daleks conspire to conquer the Solar System. Their scheme involves treachery at the highest levels and a weapon capable of destroying the very fabric of time. Only the Doctor and his friends can prevent catastrophe — and there is no guarantee they will escape with their lives...</p>",25,1966,Douglas Camfield,6.4
"The Abandoned Planet (The Daleks' Master Plan, Part Eleven)",3,20,"<p><i><b>Missing episode - only audio exists</b></i><br /> </p><p>In the year 4000, the Daleks conspire to conquer the Solar System. Their scheme involves treachery at the highest levels and a weapon capable of destroying the very fabric of time. Only the Doctor and his friends can prevent catastrophe — and there is no guarantee they will escape with their lives...</p>",25,1966,Douglas Camfield,6.6
"Destruction of Time (The Daleks' Master Plan, Part Twelve)",3,21,"<p><i><b>Missing episode - only audio exists</b></i></p><p>In the year 4000, the Daleks conspire to conquer the Solar System. Their scheme involves treachery at the highest levels and a weapon capable of destroying the very fabric of time. Only the Doctor and his friends can prevent catastrophe — and there is no guarantee they will escape with their lives...</p>",25,1966,Douglas Camfield,7.2
"War of God (The Massacre of St Bartholomew's Eve, Part One)",3,22,"<p><i><b>Missing episode</b></i></p><p>The TARDIS materialises in Paris in the year 1572 and the Doctor decides to visit the famous apothecary Charles Preslin. Steven, meanwhile, is befriended by a group of Huguenots from the household of the Protestant Admiral de Coligny. Having rescued a young serving girl, Anne Chaplet, from some pursuing guards, the Huguenots gain their first inkling of a heinous plan being hatched at the command of the Catholic Queen Mother,Catherine de Medici.</p>",25,1966,Paddy Russell,5.8
"The Sea Beggar (The Massacre of St Bartholomew's Eve, Part Two)",3,23,"<p><i><b>Missing episode</b></i></p><p>The TARDIS materialises in Paris in the year 1572 and the Doctor decides to visit the famous apothecary Charles Preslin. Steven, meanwhile, is befriended by a group of Huguenots from the household of the Protestant Admiral de Coligny. Having rescued a young serving girl, Anne Chaplet, from some pursuing guards, the Huguenots gain their first inkling of a heinous plan being hatched at the command of the Catholic Queen Mother,Catherine de Medici.</p>",25,1966,Paddy Russell,5.8
"Priest of Death (The Massacre of St Bartholomew's Eve, Part Three)",3,24,"<p><i><b>Missing episode</b></i></p><p>The TARDIS materialises in Paris in the year 1572 and the Doctor decides to visit the famous apothecary Charles Preslin. Steven, meanwhile, is befriended by a group of Huguenots from the household of the Protestant Admiral de Coligny. Having rescued a young serving girl, Anne Chaplet, from some pursuing guards, the Huguenots gain their first inkling of a heinous plan being hatched at the command of the Catholic Queen Mother,Catherine de Medici.</p>",25,1966,Paddy Russell,5.8
"Bell of Doom (The Massacre of St Bartholomew's Eve, Part Four)",3,25,"<p><i><b>Missing episode</b></i></p><p>The TARDIS materialises in Paris in the year 1572 and the Doctor decides to visit the famous apothecary Charles Preslin. Steven, meanwhile, is befriended by a group of Huguenots from the household of the Protestant Admiral de Coligny. Having rescued a young serving girl, Anne Chaplet, from some pursuing guards, the Huguenots gain their first inkling of a heinous plan being hatched at the command of the Catholic Queen Mother,Catherine de Medici.</p>",25,1966,Paddy Russell,6
"The Steel Sky (The Ark, Part One)",3,26,"<p>The Doctor and his companions Steven Taylor and Dodo Chaplet arrive some ten million years into the future, on board a generation starshipwhich is carrying the last of humanity away from an Earth that is about to fall into the Sun. However, the cold that Dodo has could prove devastating to these future humans and their servants, the Monoids.</p>",25,1966,Michael Imison,7.3
"The Plague (The Ark, Part Two)",3,27,"<p>The Doctor and his companions Steven Taylor and Dodo Chaplet arrive some ten million years into the future, on board a generation starshipwhich is carrying the last of humanity away from an Earth that is about to fall into the Sun. However, the cold that Dodo has could prove devastating to these future humans and their servants, the Monoids.</p>",25,1966,Michael Imison,6.8
"The Return (The Ark, Part Three)",3,28,"<p>The Doctor and his companions Steven Taylor and Dodo Chaplet arrive some ten million years into the future, on board a generation starshipwhich is carrying the last of humanity away from an Earth that is about to fall into the Sun. However, the cold that Dodo has could prove devastating to these future humans and their servants, the Monoids.</p>",25,1966,Michael Imison,6.4
"The Bomb (The Ark, Part Four)",3,29,"<p>The Doctor and his companions Steven Taylor and Dodo Chaplet arrive some ten million years into the future, on board a generation starshipwhich is carrying the last of humanity away from an Earth that is about to fall into the Sun. However, the cold that Dodo has could prove devastating to these future humans and their servants, the Monoids.</p>",25,1966,Michael Imison,6.4
"The Celestial Toyroom (The Celestial Toymaker, Part One)",3,30,"<p><i><b>Missing episode -only audio exists</b></i></p><p>The travellers arrive in a strange domain presided over by the Celestial Toymaker — an enigmatic, immortal entity who forces them to play a series of games, failure at which will render them his playthings for all eternity.<br /> </p>",25,1966,Bill Sellars,7.3
"The Hall of Dolls (The Celestial Toymaker, Part Two)",3,31,"<p><i><b>Missing episode -  -only audio exists</b></i></p><p>The travellers arrive in a strange domain presided over by the Celestial Toymaker — an enigmatic, immortal entity who forces them to play a series of games, failure at which will render them his playthings for all eternity.</p>",25,1966,Bill Sellars,7.3
"The Dancing Floor (The Celestial Toymaker, Part Three)",3,32,"<p><i><b>Missing episode -  -only audio exists</b></i></p><p>The travellers arrive in a strange domain presided over by the Celestial Toymaker — an enigmatic, immortal entity who forces them to play a series of games, failure at which will render them his playthings for all eternity.</p>",25,1966,Bill Sellars,7.2
"The Final Test (The Celestial Toymaker, Part Four)",3,33,"<p>The travellers arrive in a strange domain presided over by the Celestial Toymaker — an enigmatic, immortal entity who forces them to play a series of games, failure at which will render them his playthings for all eternity.</p>",25,1966,Bill Sellars,7.3
"A Holiday for the Doctor (The Gunfighters, Part One)",3,34,"<p>Arriving in the town of Tombstone, the First Doctor finds himself involved with gunmen out to kill Doc Holliday...</p>",25,1966,Rex Tucker,6.8
"Don't Shoot the Pianist (The Gunfighters, Part Two)",3,35,"<p>Arriving in the town of Tombstone, the First Doctor finds himself involved with gunmen out to kill Doc Holliday...</p>",25,1966,Rex Tucker,6.7
"Johnny Ringo (The Gunfighters, Part Three)",3,36,"<p>Arriving in the town of Tombstone, the First Doctor finds himself involved with gunmen out to kill Doc Holliday...</p>",25,1966,Rex Tucker,6.5
"The O.K. Corral (The Gunfighters, Part Four)",3,37,"<p>Arriving in the town of Tombstone, the First Doctor finds himself involved with gunmen out to kill Doc Holliday...</p>",25,1966,Rex Tucker,6.5
"The Savages, Part One",3,38,"<p><i><b>Missing episode</b></i></p><p>The TARDIS has arrived on a far-distant and seemingly idyllic world. Yet the Doctor, Steven and Dodo learn it hides a terrible secret: the apparently civilised Elders maintain their advanced society by draining and transferring to themselves the life-force of the defenceless Savages.</p><p>Outraged at this exploitation, the Doctor is seemingly helpless to prevent it when some of his own life-force is tapped by the Elders' leader, Jano. In the process, however, Jano also acquires some of the Doctor's attitudes and conscience. Turning against his own people, he enlists the Savages to destroy the Elders' transference laboratory — a task with which the time travellers gladly assist.</p><p>Steven agrees to remain behind on the planet to become leader of the newly united Elders and Savages.</p>",25,1966,Christopher Barry,6.5
"The Savages, Part Two",3,39,"<p><i><b>Missing episode</b></i></p><p>The TARDIS has arrived on a far-distant and seemingly idyllic world. Yet the Doctor, Steven and Dodo learn it hides a terrible secret: the apparently civilised Elders maintain their advanced society by draining and transferring to themselves the life-force of the defenceless Savages.</p><p>Outraged at this exploitation, the Doctor is seemingly helpless to prevent it when some of his own life-force is tapped by the Elders' leader, Jano. In the process, however, Jano also acquires some of the Doctor's attitudes and conscience. Turning against his own people, he enlists the Savages to destroy the Elders' transference laboratory — a task with which the time travellers gladly assist.</p><p>Steven agrees to remain behind on the planet to become leader of the newly united Elders and Savages.</p>",25,1966,Christopher Barry,6
"The Savages, Part Three",3,40,"<p><i><b>Missing episode</b></i></p><p>The TARDIS has arrived on a far-distant and seemingly idyllic world. Yet the Doctor, Steven and Dodo learn it hides a terrible secret: the apparently civilised Elders maintain their advanced society by draining and transferring to themselves the life-force of the defenceless Savages.</p><p>Outraged at this exploitation, the Doctor is seemingly helpless to prevent it when some of his own life-force is tapped by the Elders' leader, Jano. In the process, however, Jano also acquires some of the Doctor's attitudes and conscience. Turning against his own people, he enlists the Savages to destroy the Elders' transference laboratory — a task with which the time travellers gladly assist.</p><p>Steven agrees to remain behind on the planet to become leader of the newly united Elders and Savages.</p>",25,1966,Christopher Barry,5.8
"The Savages, Part Four",3,41,"<p><i><b>Missing episode</b></i></p><p>The TARDIS has arrived on a far-distant and seemingly idyllic world. Yet the Doctor, Steven and Dodo learn it hides a terrible secret: the apparently civilised Elders maintain their advanced society by draining and transferring to themselves the life-force of the defenceless Savages.</p><p>Outraged at this exploitation, the Doctor is seemingly helpless to prevent it when some of his own life-force is tapped by the Elders' leader, Jano. In the process, however, Jano also acquires some of the Doctor's attitudes and conscience. Turning against his own people, he enlists the Savages to destroy the Elders' transference laboratory — a task with which the time travellers gladly assist.</p><p>Steven agrees to remain behind on the planet to become leader of the newly united Elders and Savages.</p>",25,1966,Christopher Barry,6
"The War Machines, Part One",3,42,,25,1966,Michael Ferguson,7
"The War Machines, Part Two",3,43,,25,1966,Michael Ferguson,7
"The War Machines, Part Three",3,44,,25,1966,Michael Ferguson,6.5
"The War Machines, Part Four",3,45,,25,1966,Michael Ferguson,6.5
"The Smugglers, Part One",4,1,"<p>The Doctor discovers Polly and Ben aboard the TARDIS shortly before the ship arrives in 17th century Cornwall, where the local churchwarden gives the Doctor a cryptic message shortly before being murdered.</p>",25,1966,Julia Smith,6
"The Smugglers, Part Two",4,2,<p>Pike is convinced that the Doctor knows the location of Avery's treasure while Polly and Ben try to convince the locals they were not responsible for Longfoot's murder.</p>,25,1966,Julia Smith,6
"The Smugglers, Part Three",4,3,"<p>Polly and Ben are placed in the custody of Blake, who reveals he also has his suspicions about the Squire, while the Doctor and Kewper are forced to team up to escape from Pike's ship.</p>",25,1966,Julia Smith,6
"The Smugglers, Part Four",4,4,"<p>The Doctor and his friends are at the mercy of Cherub, who is now seeking Avery's treasure for himself, while Pike prepares to attack the village.</p>",25,1966,Julia Smith,5.8
"The Tenth Planet, Part One",4,5,"<p>In December 1986, a new planet appears in the Solar System which turns out to be a long-lost twin of Earth's named Mondas. Its inhabitants are the Cybermen.</p>",25,1966,Derek Martinus,7
"The Tenth Planet, Part Two",4,6,"<p>The Doctor's warnings are ignored and the Cybermen take over the base, hampering the crew's efforts to help Zeus IV.</p>",25,1966,Derek Martinus,7
"The Tenth Planet, Part Three",4,7,"<p>With the Doctor out of action, it is up to Polly, Ben and Barclay to stop Cutler using the Z-Bomb and devastating half the world.</p>",25,1966,Derek Martinus,6.5
"The Tenth Planet, Part Four",4,8,"<p>The Cybermen take over the base again, apparently to stop the humans using the Z-Bomb, but then the Doctor realises they intend to use it themselves to destroy Earth.</p>",25,1966,Derek Martinus,7
"The Power of the Daleks, Part One",4,9,<p>The Doctor and his companions are brought to an Earth colony on the planet Vulcan.</p>,25,1966,Christopher Barry,7.7
"The Power of the Daleks, Part Two",4,10,"<p>The Doctor warns the scientist about the dire consequences of reactivating the dormant Dalek that he claims not to have discovered. The Doctor attempts to see the governor in an attempt to stop the secret experiments with the Dalek,.</p>",25,1966,Christopher Barry,7.7
"The Power of the Daleks, Part Three",4,11,<p>Polly is taken prisoner by the rebels who are planning to use the Dalek to take control of the colony.</p>,25,1966,Christopher Barry,7.4
"The Power of the Daleks, Part Four",4,12,<p>Scientist Lesterson discovers the Daleks plot to reproduce themselves and then seize control of the Colony.</p>,25,1966,Christopher Barry,7.3
"The Power of the Daleks, Part Five",4,13,"<p>The head of security for the Earth colony Vulcan, leads a rebellion; The Daleks prepare to make their final assault on the people of the colony.</p>",25,1966,Christopher Barry,7.1
"The Power of the Daleks, Part Six",4,14,<p>The Daleks begin their attack while the battle rages between the loyalists and the rebels and it falls to the Doctor to make an attempt to stop the Daleks plot.</p>,25,1966,Christopher Barry,7
"The Highlanders, Part One",4,15,"<p>The Doctor, Polly and Ben arrive in 1746, in the aftermath of the Battle of Culloden, and are captured by a group of Highlanders shortly before they themselves are captured by redcoats.</p>",25,1966,Hugh David,6
"The Highlanders, Part Two",4,16,<p>Polly and Kirsty capture Lieutenant Ffinch to try and enlist his help while the Doctor tricks Gray in order to escape.</p>,25,1966,Hugh David,6
"The Highlanders, Part Three",4,17,"<p>With the Highlanders imprisoned aboard Trask's ship, the Doctor attempts to expose Grey's plan.</p>",25,1966,Hugh David,6
"The Highlanders, Part Four",4,18,"<p>Ben manages to join up with the Doctor, Polly and Kirsty and together they work to free the Highlanders from Trask's ship before Grey sells them into slavery.</p>",25,1967,Hugh David,6
"The Underwater Menace, Part One",4,19,<p>The TARDIS materializes on a stretch of deserted beach. The Doctor and his companions are then captured and taken to the mysterious lost city of Atlantis.</p>,25,1967,Julia Smith,7.5
"The Underwater Menace, Part Two",4,20,"<p>While Ara tries to save Polly from being turned into a Fish Person and Ben and Jamie try to escape from the mines, the Doctor discovers the full extent of Zaroff's plans.</p>",25,1967,Julia Smith,7.5
"The Underwater Menace, Part Three",4,21,<p>The Doctor and Ramo are sentenced to be sacrificed to the goddess Amdo and must escape to put a stop to Zaroff's plan.</p>,25,1967,Julia Smith,7.8
"The Underwater Menace, Part Four",4,22,"<p>With Zaroff's plan nearing completion, the Doctor and Ben realise the only way to save the world is to destroy Atlantis.</p>",25,1967,Julia Smith,7.5
"The Moonbase, Part One",4,23,"<p>The TARDIS arrives on the Moon in the year 2070. When Jamie is injured, the other travellers are forced to seek the help of a moonbase afflicted with a space plague.</p>",25,1967,Morris Barry,7.8
"The Moonbase, Part Two",4,24,<p>The Doctor and his friends attempt to convince the Moonbase crew that the Cybermen are responsible for the disappearances and find a cure for the plague.</p>,25,1967,Morris Barry,7.8
"The Moonbase, Part Three",4,25,"<p>The Cybermen take over the Moonbase and begin using the Gravitron to attack Earth but Polly, Ben and Jamie come up with a way to fight back.</p>",25,1967,Morris Barry,7.5
"The Moonbase, Part Four",4,26,"<p>With the Cybermen preparing to launch a full attack, the Doctor and his friends must keep the Moonbase and the Gravitron out of their hands until help arrives from Earth.</p>",25,1967,Morris Barry,7.5
"The Macra Terror, Part One",4,27,<p>The TARDIS arrives at a holiday camp company with the crew worried by a prediction of giant crabs and the Doctor becomes interested in the apparent madman Medok's stories of creatures that roam the colony at night.</p>,25,1967,John Davies,7.8
"The Macra Terror, Part Two",4,28,<p>The Doctor is unable to convince the colonists that the Macra exist and an attempt to brainwash his companions results in Ben betraying his friends.</p>,25,1967,John Davies,8.3
"The Macra Terror, Part Three",4,29,"<p>The Doctor, Polly and Jamie are sentenced to work in the pits and an escape attempt sees Ben's loyalties called into question again.</p>",25,1967,John Davies,8
"The Macra Terror, Part Four",4,30,<p>The Doctor and Polly manage to save Jamie from the Macra and then try to show the Pilot who is really in charge of the colony.</p>,25,1967,John Davies,8
"The Faceless Ones, Part One",4,31,"<p>The TARDIS materialises on the runway of Gatwick Airport, where Polly witnesses a murder only to be kidnapped before she can report it.</p>",25,1967,Gerry Mill,8
"The Faceless Ones, Part Two",4,32,"<p>With Polly having apparently forgotten them, the Doctor, Ben and Jamie decide to carry out their own investigation of Chameleon Tours.</p>",25,1967,Gerry Mill,7.7
"The Faceless Ones, Part Three",4,33,"<p>The Doctor, Jamie and Sam manage to convince Crossland to trust them and he persuades the Commandant to let them continue their investigation.</p>",25,1967,Gerry Mill,7.8
"The Faceless Ones, Part Four",4,34,"<p>When Spencer attempts to kill them, the Doctor, Jamie and Sam become convinced Chameleon Tours are hiding something and Sam decides to book a ticket on one of their flights.</p>",25,1967,Gerry Mill,7.7
"The Faceless Ones, Part Five",4,35,<p>Jamie finds himself aboard the Chameleons' satellite and meets their Director while the Doctor forces the Chameleon Meadows to tell him the aliens' plans.</p>,25,1967,Gerry Mill,7.7
"The Faceless Ones, Part Six",4,36,<p>The Doctor and Pinto are captured by the Chameleons but the Doctor manages to use their dependence on their human originals to create dissent in their ranks.</p>,25,1967,Gerry Mill,8
"The Evil of the Daleks, Part One",4,37,"<p>Trying to find the stolen TARDIS, the Doctor and Jamie are lured into a trap by the Doctor's old enemies the Daleks.</p>",25,1967,Derek Martinus,8
"The Evil of the Daleks, Part Two",4,38,"<p>The Doctor and Jamie investigate Waterfield's antiques shop, where they are knocked unconscious and transported back to the 19th century.</p>",25,1967,Derek Martinus,8.3
"The Evil of the Daleks, Part Three",4,39,"<p>As part of the Daleks' experiment, the Doctor manipulates Jamie into attempting to rescue Victoria.</p>",25,1967,Derek Martinus,7.8
"The Evil of the Daleks, Part Four",4,40,"<p>Jamie and Kemel team up to try and find Victoria, while the Doctor and the Daleks continue to monitor their progress.</p>",25,1967,Derek Martinus,8
"The Evil of the Daleks, Part Five",4,41,"<p>With the experiment at an end, the Doctor begins to suspect the key to rescuing Jamie, Victoria and Kemel from the Daleks lies with Terrall.</p>",25,1967,Derek Martinus,8.2
"The Evil of the Daleks, Part Six",4,42,"<p>The Doctor, Jamie and Waterfield follow the Daleks to Skaro, where they discover an unforeseen consequence to their experiment.</p>",25,1967,Derek Martinus,8
"The Evil of the Daleks, Part Seven",4,43,<p>The Daleks are poised to spread the Dalek Factor throughout the history of Earth and begin by implanting the Doctor.</p>,25,1967,Derek Martinus,8.3
"The Tomb of the Cybermen, Part One",5,1,"<p>The Doctor, Jamie and Victoria arrive on Telos, where an archaeological group are exploring the Tomb of the Cybermen. But are the Cybermen as dormant as they believe?</p>",25,1967,Morris Barry,8.2
"The Tomb of the Cybermen, Part Two",5,2,<p>The archaeologists learn they are stranded on Telos and Klieg suggests they use the opportunity to explore the Cybermen's tombs.</p>,25,1967,Morris Barry,8.2
"The Tomb of the Cybermen, Part Three",5,3,"<p>The Cybermen have been revived and plan to convert the archeologists into their own kind, prompting Hopper to attempt a rescue.</p>",25,1967,Morris Barry,8.2
"The Tomb of the Cybermen, Part Four",5,4,<p>Klieg attempts to do a deal with the Cybercontroller while the Doctor tries to find a way to refreeze the Cybermen permanently.</p>,25,1967,Morris Barry,8
"The Abominable Snowmen, Part One",5,5,"<p>When the TARDIS materialises in the Himalayas, the Doctor decides to pay a return visit to the nearby Det-Sen monastery only to be accused of murder.</p>",25,1967,Gerald Blake,7
"The Abominable Snowmen, Part Two",5,6,<p>Jamie and Victoria make their way to the monastery shortly before it is attacked by the Yeti.</p>,25,1967,Gerald Blake,7.3
"The Abominable Snowmen, Part Three",5,7,"<p>While the Doctor and Jamie return to the TARDIS for equipment, the control sphere Jamie brought to the monastery is reactivated.</p>",25,1967,Gerald Blake,7
"The Abominable Snowmen, Part Four",5,8,"<p>The Yeti escapes from the monastery and Victoria and Thonmi are accused of assisting it, while the Doctor and Jamie endure a perilous journey back across the mountains.</p>",25,1967,Gerald Blake,7
"The Abominable Snowmen, Part Five",5,9,<p>Victoria falls under the mental influence of Padmasambhva as the Yeti attack in order to drive the monks from the area.</p>,25,1967,Gerald Blake,7.3
"The Abominable Snowmen, Part Six",5,10,"<p>With the Great Intelligence on the verge of becoming corporeal, the Doctor challenges Padmasambhva to a mental battle in order to defeat it.</p>",25,1967,Gerald Blake,7
"The Ice Warriors, Part One",5,11,"<p>The Doctor, Jamie and Victoria are brought to a base which is attempting to halt the flow of the Second Ice Age.</p>",25,1967,Derek Martinus,8
"The Ice Warriors, Part Two",5,12,<p>Varga revives and takes Victoria hostage as he works to revive his crew while the Doctor and Jamie find Penley stealing medical supplies.</p>,25,1967,Derek Martinus,8
"The Ice Warriors, Part Three",5,13,<p>Jamie and Arden venture out to rescue Victoria only to find the rest of the Ice Warriors are now active.</p>,25,1967,Derek Martinus,7.7
"The Ice Warriors, Part Four",5,14,<p>The Doctor leaves the base to try and find Jamie and Victoria while Storr tries to do a deal with the Ice Warriors.</p>,25,1967,Derek Martinus,7.3
"The Ice Warriors, Part Five",5,15,<p>The Doctor and Victoria are both held prisoner by the Ice Warriors as Varga decides to take over Brittanicus.</p>,25,1967,Derek Martinus,7.3
"The Ice Warriors, Part Six",5,16,<p>The Doctor and Victoria attempt to force the Ice Warriors to surrender control of the ioniser before the ice flow destroys them.</p>,25,1967,Derek Martinus,7.7
"The Enemy of the World, Part One",5,17,"<p>After the Doctor is attacked by a group of mysterious gunmen, he discovers he is the physical double of the famous scientist Salamander.</p>",25,1967,Barry Letts,7.6
"The Enemy of the World, Part Two",5,18,<p>Jamie and Victoria agree to accompany Astrid to Hungary to observe Salamander's activities.</p>,25,1967,Barry Letts,8
"The Enemy of the World, Part Three",5,19,"<p>Jamie and Victoria become friends with Fariah, determined to discover the truth about Salamander. Astrid makes plans to rescue Denes, but not everything goes to plan.</p>",25,1968,Barry Letts,7.8
"The Enemy of the World, Part Four",5,20,<p>Fariah brings the Doctor and Kent evidence of Salamander's activities but then they come under attack from Benik.</p>,25,1968,Barry Letts,7.8
"The Enemy of the World, Part Five",5,21,<p>The Doctor persuades Bruce to help him infiltrate Salamander's research centre while Salamander takes drastic action to prevent Swann finding out the truth.</p>,25,1968,Barry Letts,8.2
"The Enemy of the World, Part Six",5,22,<p>The Doctor discovers the true link between Salamander and Kent while Astrid tries to convince the shelter inhabitants they have been lied to.</p>,25,1968,Barry Letts,8
"The Web of Fear, Part One",5,23,<p>The TARDIS becomes trapped in space before ending up in an underground station of a mysteriously deserted London.</p>,25,1968,Douglas Camfield,8.3
"The Web of Fear, Part Two",5,24,<p>Jamie and Victoria are reunited with Travers before Jamie joins the soldiers in attempting to find out what has happened to the Doctor.</p>,25,1968,Douglas Camfield,8.3
"The Web of Fear, Part Three",5,25,<p>The Doctor and Victoria are taken back to the Goodge Street base by Colonel Lethbridge-Stewart where the Doctor becomes convinced there is a traitor in their midst.</p>,25,1968,Douglas Camfield,8
"The Web of Fear, Part Four",5,26,"<p>With Travers having been captured by the Yeti, the Doctor attempts to find a way to gain control of the robots while Lethbridge-Stewart tries to recover the TARDIS.</p>",25,1968,Douglas Camfield,8
"The Web of Fear, Part Five",5,27,"<p>Victoria and Travers are held prisoner by the Great Intelligence, who is planning to drain the Doctor's mind.</p>",25,1968,Douglas Camfield,8
"The Web of Fear, Part Six",5,28,"<p>The Doctor and his friends are held prisoner by the Intelligence and their only hope lies with Jamie, Arnold and a reprogrammed Yeti.</p>",25,1968,Douglas Camfield,8.3
"Fury from the Deep, Part One",5,29,"<p>The Doctor, Jamie and Victoria are taken prisoner by the staff of a gas refinery, who have lost contact with their drilling rigs and experienced mysterious drops in pressure.</p>",25,1968,Hugh David,8
"Fury from the Deep, Part Two",5,30,<p>Harris asks for the Doctor's help with Maggie while Van Lutyens and the Chief Engineer attempt to determine what is blocking the impeller.</p>,25,1968,Hugh David,7.8
"Fury from the Deep, Part Three",5,31,"<p>While the Doctor begins his investigation into the weed creatures, Robson is attacked by one at the refinery.</p>",25,1968,N/A,7.8
"Fury from the Deep, Part Four",5,32,<p>Van Lutyens' investigation of the base of the impeller places the Doctor and Jamie in danger from the Weed Creature.</p>,25,1968,Hugh David,7.8
"Fury from the Deep, Part Five",5,33,"<p>With the Weed Creature poised to burst out of the pipeline and attack the base, an encounter with Oak and Quill gives the Doctor a vital clue about its weakness.</p>",25,1968,Hugh David,7.8
"Fury from the Deep, Part Six",5,34,<p>The Doctor and Jamie rescue Victoria from Robson and realise they can destroy the Weed Creature with sound waves.</p>,25,1968,Hugh David,8
"The Wheel in Space, Part One",5,35,<p>The Doctor and Jamie arrive on a mysterious spacecraft whose only occupant is a dangerous Servo Robot.</p>,25,1968,Tristan de Vere Cole,7.5
"The Wheel in Space, Part Two",5,36,<p>The Doctor and Jamie are brought aboard the Wheel where Jamie is horrified to learn the crew plan to destroy the Silver Carrier with the TARDIS on board.</p>,25,1968,Tristan de Vere Cole,7.8
"The Wheel in Space, Part Three",5,37,"<p>Jamie sabotages the Wheel's x-ray laser, unknowingly giving the Cybermen an opportunity to reach the Wheel.</p>",25,1968,Tristan de Vere Cole,7.8
"The Wheel in Space, Part Four",5,38,<p>The Cybermen instruct their human slaves to smuggle them onto the Wheel while the Doctor attempts to convince Bennett of the threat they pose.</p>,25,1968,Tristan de Vere Cole,7.8
"The Wheel in Space, Part Five",5,39,<p>The Cybermen gain control of more members of the Wheel crew and the Doctor realises the only way to stop them is for Jamie and Zoe to make a dangerous space walk.</p>,25,1968,Tristan de Vere Cole,7.8
