Title,Season,Episode,Description,Duration,Year,Director,Rating
Demons of the Punjab,11,6,"<p>Yasmin asks the Doctor to travel back to 1947 India to find out the secret of her grandmother's watch, and discovers more than she wanted to know.</p>",70,2018,Jamie Childs,6.7
Kerblam!,11,7,"<p>After receiving an anonymous request for help, the Doctor and her companions travel to a moon of Kandoka to investigate the universe's large retailer: Kerblam.</p>",70,2018,Jennifer Perrott,6.7
The Witchfinders,11,8,<p>The Doctor and her companions materialize in 17th century England and soon find themselves embroiled in local witchcraft... which is the prelude to an alien invasion.</p>,70,2018,Sallie Aprahamian,6.4
It Takes You Away,11,9,"<p>The TARDIS group materialize in Norway in 2018, and soon find themselves involved with a blind girl and her missing father.</p>",70,2018,Jamie Childs,6.6
The Battle of Ranskoor Av Kolos,11,10,"<p>The Doctor and her companions respond to nine separate distress signals all originating from the same planet: Ranskoor Av Kolos. There they discover a stranded ship, an amnesiac pilot... and an old foe.</p>",70,2018,Jamie Childs,6.5
"Spyfall, Part 1",12,1,"<p>Intelligence agents around the world are under attack from alien forces, so MI6 turns to the only people who can help - The Doctor and friends. As the team travels the globe looking for answers, attacks come from all sides. Earth's security rests on the their shoulders - but where will this planet-threatening conspiracy lead them?</p>",65,2020,Jamie Magnus Stone,7.1
"Spyfall, Part 2",12,2,<p>A terrifying plan to destroy humanity is about to reach fruition. Can the Doctor and her companions escape multiple traps and defeat a deadly alliance?</p>,60,2020,Lee Haven-Jones,6.7
Orphan 55,12,3,"<p>Having decided that everyone could do with a holiday, the Doctor takes Graham, Yasmin, Ryan to a luxury resort for a spot of rest and relaxation. However, they discover the place where they are having a break is hiding a number of deadly secrets. What are the ferocious monsters that are attacking Tranquillity Spa?</p>",45,2020,Lee Haven-Jones,5.8
Nikola Tesla's Night of Terror,12,4,"<p>It is 1903 and on the edge of Niagara Falls, something is wrong at Nikola Tesla's generator plant, where someone – or something – is sabotaging the maverick inventor's work. Has Tesla really received a message from Mars? And where does his great rival Thomas Edison fit into these events? The Doctor and her companions Yaz, Ryan and Graham must join forces with one of history's greatest minds to save both him and planet Earth.</p>",50,2020,Nida Manzoor,6.9
Fugitive of the Judoon,12,5,"<p>Stomping their way into present-day Gloucester, the Judoon are on the hunt for someone on the run. Who is this fugitive? And why are these alien mercenaries after them?</p>",50,2020,Nida Manzoor,7.4
Praxeus,12,6,"<p>What connects a missing astronaut, birds behaving strangely in Peru, and a US naval officer who washes up on a Madagascan beach? The Doctor, Yaz, Ryan and Graham split up to investigate mysterious events across 21st century planet Earth. As the mystery deepens, and lives are put at risk, the TARDIS team face a deadly race against time to save humanity.</p>",50,2020,Jamie Magnus Stone,6
Can You Hear Me?,12,7,"<p>From ancient Syria to present day Sheffield, and out into the wilds of space, something is stalking the Doctor and her friends and infecting people's nightmares. As Graham, Yaz and Ryan return home to see friends and family, they find themselves haunted by very different experiences. Who is the figure calling from beyond the stars for help, and why? And what are the fearsome Chagaskas terrorising Aleppo in 1380? To find the answers, Team TARDIS embark on a mission that forces them to face their darkest fears.</p>",50,2020,Emma Sullivan,6.8
The Haunting of Villa Diodati,12,8,"<p>The Doctor and gang arrive at the Villa Diodati, Lake Geneva, in 1816 - on a night that inspired Mary Shelley's Frankenstein. The plan is to spend the evening soaking up the atmos in the presence of some literary greats - but the ghosts are all too real. And the Doctor is forced into a decision of earth-shattering proportions…</p>",50,2020,Emma Sullivan,7.1
Ascension of the Cybermen,12,9,"<p>The aftermath of the Great CyberWar. The Doctor arrives in the far future, intent on protecting the last of the human race from the deadly Cybermen. But in the face of such a relentless enemy, has she put her best friends at risk? What terrors lie hiding in the depths of space, and what is Ko Sharmus?</p>",50,2020,Jamie Magnus Stone,7
The Timeless Children,12,10,"<p>The Cybermen attack, and for the Doctor nothing will ever be the same.</p>",65,2020,Jamie Magnus Stone,7.1
Chapter One: The Halloween Apocalypse,13,1,"<p>On Halloween, all across the universe, terrifying forces are stirring. From the Arctic Circle to deep space, an ancient evil is breaking free. And in present-day Liverpool, the life of Dan Lewis is about to change forever. Why is the Doctor on the trail of the fearsome Karvanista? And what is the Flux?</p>",50,2021,Jamie Magnus Stone,6.6
Chapter Two: War of the Sontarans,13,2,"<p>During the Crimean War, the Doctor discovers the British army fighting a brutal alien army of Sontarans, as Yaz and Dan are thrown deeper into a battle for survival. What is the Temple of Atropos? Who are the Mouri?</p>",60,2021,Jamie Magnus Stone,6.6
"Chapter Three: Once, Upon Time",13,3,"<p>On a planet that shouldn't exist, in the aftermath of apocalypse, the Doctor, Dan, Yaz and Vinder face a battle to survive.<br /> </p>",50,2021,Azhur Saleem,6.1
Chapter Four: Village of the Angels,13,4,"<p>Devon, November 1967. A little girl has gone missing, Professor Eustacius Jericho is conducting psychic experiments, and in the village graveyard, there is one gravestone too many. Why is Medderton known as the Cursed Village, and what do the Weeping Angels want?</p>",55,2021,Jamie Magnus Stone,6.4
Chapter Five: Survivors of the Flux,13,5,"<p>As the forces of evil mass, the Doctor, Yaz and Dan face perilous journeys and seemingly insurmountable obstacles in their quest for survival.</p>",55,2021,Azhur Saleem,6.6
Chapter Six: The Vanquishers,13,6,"<p>In the final epic chapter in the story of the Flux, all hope is lost. The forces of darkness are in control. But when the monsters have won, who can you count upon to save the universe?</p>",60,2021,Azhur Saleem,6.2
